StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Setting up a surveillance program with students,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Knowing about veterinary entomology,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - The lifecycle of a mosquito,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - The habitat of a mosquito,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Planning and carrying out a scientific investigation with students,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Writing a geo-inquiry question,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Collecting mosquito data in the field with students,Please indicate how much you know at this time about the following activities and topics related to MEGA:BITESS. - Collecting GIS data in the field with students,"Please enter your personal code in the text box below.

 

Your personal code is a unique, anonymous identifier that we will ask you to use in your survey responses and other data sources for us to be able to link your data, while protecting your confidentiality and privacy. 

 

So that it is easy for you to remember, please consider your first pet's name and the day of the month on which you were born as your personal code. For example, if your first pet was named Freddie, and you were born on the 4th day of the month, your personal code would be: 

 

freddie4"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID17_8""}","{""ImportId"":""QID15_TEXT""}"
2020-06-29 12:39:54,2020-06-29 12:41:33,IP Address,99.17.90.227,100,98,True,2020-06-29 12:41:33,R_3ikd9JF3sCG3cNQ,,,,,35.89739990234375,-83.94249725341796875,anonymous,EN,A great deal,A lot,A lot,A great deal,A great deal,A moderate amount,A great deal,A great deal,Jody4
2020-06-29 12:45:55,2020-06-29 12:47:11,IP Address,68.169.132.28,100,76,True,2020-06-29 12:47:12,R_Unm3IOOd57I6wal,,,,,35.0955963134765625,-85.17690277099609375,anonymous,EN,A great deal,A lot,A lot,A lot,A great deal,A great deal,A great deal,A great deal,Toby29
2020-06-29 15:55:44,2020-06-29 15:57:21,IP Address,162.72.55.194,100,96,True,2020-06-29 15:57:21,R_1pEcONd3mugqn1s,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A great deal,A lot,A lot,A great deal,A great deal,A lot,A great deal,A great deal,gimlet7
2020-06-30 08:39:02,2020-06-30 08:39:42,IP Address,69.73.57.202,100,40,True,2020-06-30 08:39:43,R_3DxtnSnvCB7si53,,,,,36.049896240234375,-83.92279815673828125,anonymous,EN,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,Pepper2014
2020-06-30 09:45:58,2020-06-30 09:46:37,IP Address,76.234.103.8,100,39,True,2020-06-30 09:46:37,R_2xLV4nDum0Kjr0s,,,,,35.8585052490234375,-84.12059783935546875,anonymous,EN,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,A great deal,Maggie11
2020-07-01 14:15:28,2020-07-01 14:16:32,IP Address,99.17.92.73,100,63,True,2020-07-01 14:16:32,R_3EjaUq48cN5vGvE,,,,,35.9243011474609375,-83.99649810791015625,anonymous,EN,A moderate amount,A lot,A great deal,A great deal,A lot,A moderate amount,A great deal,A great deal,gracie7
2020-07-02 15:57:31,2020-07-02 15:58:37,IP Address,67.187.116.167,100,65,True,2020-07-02 15:58:37,R_1OP7zOlJWi2NMp0,,,,,35.8585052490234375,-84.12059783935546875,anonymous,EN,A great deal,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal,3687
2020-07-03 09:36:29,2020-07-03 09:37:08,IP Address,73.19.205.244,100,38,True,2020-07-03 09:37:08,R_2rPkNTZZZVTRzd4,,,,,36.0868988037109375,-84.189697265625,anonymous,EN,A great deal,A moderate amount,A lot,A lot,A great deal,A great deal,A great deal,A great deal,buddy14
2020-09-16 16:19:02,2020-09-16 16:21:14,IP Address,162.72.55.194,100,132,True,2020-09-16 16:21:15,R_YXpudbtOHEzGmLn,,,,,35.8697052001953125,-83.7462005615234375,anonymous,EN,A great deal,A moderate amount,A lot,A lot,A great deal,A little,A great deal,A great deal,honey7
2020-09-17 07:56:31,2020-09-17 07:57:54,IP Address,96.4.67.70,100,82,True,2020-09-17 07:57:54,R_2ccoTwuZ0PtQO5L,,,,,36.01300048828125,-84.26239776611328125,anonymous,EN,A lot,A moderate amount,A lot,A great deal,A lot,A lot,A lot,A moderate amount,pongo21
