Q15,Survey,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8
3687,Pre-Survey,A great deal,A moderate amount,A moderate amount,A lot,A great deal,A great deal,A lot,A lot
3687,Post-Survey,A great deal,A lot,A lot,A great deal,A great deal,A great deal,A great deal,A great deal
bella4,Pre-Survey,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,A great deal,A lot
buddy14,Pre-Survey,A great deal,A little,A moderate amount,A moderate amount,A great deal,A moderate amount,A great deal,A great deal
buddy14,Post-Survey,A great deal,A moderate amount,A lot,A lot,A great deal,A great deal,A great deal,A great deal
Dha123,Pre-Survey,A little,A moderate amount,A moderate amount,A lot,A moderate amount,A little,None at all,A little
gimlet7,Pre-Survey,A great deal,A moderate amount,A lot,A great deal,A great deal,A lot,A great deal,A lot
gimlet7,Post-Survey,A great deal,A lot,A lot,A great deal,A great deal,A lot,A great deal,A great deal
gracie7,Post-Survey,A moderate amount,A lot,A great deal,A great deal,A lot,A moderate amount,A great deal,A great deal
Gracie7,Pre-Survey,A lot,A moderate amount,A lot,A great deal,A great deal,A moderate amount,A great deal,A lot
honey7,Post-Survey,A great deal,A moderate amount,A lot,A lot,A great deal,A little,A great deal,A great deal
Jody4,Pre-Survey,A great deal,A moderate amount,A moderate amount,A great deal,A great deal,A lot,A great deal,A lot
Jody4,Post-Survey,A great deal,A lot,A lot,A great deal,A great deal,A moderate amount,A great deal,A great deal
Maggie11,Pre-Survey,A great deal,A lot,A lot,A lot,A great deal,A lot,A lot,A lot
Maggie11,Post-Survey,A great deal,A great deal,A great deal,A great deal,A great deal,A lot,A great deal,A great deal
Mufasa,Pre-Survey,A great deal,A moderate amount,A lot,A great deal,Unable to answer / Do not know,A great deal,A great deal,A great deal
nj,Pre-Survey,NA,NA,NA,NA,NA,NA,A lot,NA
Pepper2014,Post-Survey,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal
PEPPER2014,Pre-Survey,A lot,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A lot,A lot,A moderate amount
pongo1,Pre-Survey,A lot,A moderate amount,A moderate amount,A lot,A moderate amount,A moderate amount,A moderate amount,A little
pongo21,Post-Survey,A lot,A moderate amount,A lot,A great deal,A lot,A lot,A lot,A moderate amount
scruffy10,Pre-Survey,A moderate amount,NA,A moderate amount,A little,A moderate amount,A little,A great deal,A great deal
Tag14,Pre-Survey,A lot,A little,A moderate amount,A moderate amount,A lot,A lot,A lot,A lot
Toby29,Pre-Survey,A great deal,A moderate amount,A lot,A lot,A great deal,A moderate amount,A great deal,A moderate amount
Toby29,Post-Survey,A great deal,A lot,A lot,A lot,A great deal,A great deal,A great deal,A great deal
xena22,Pre-Survey,A moderate amount,A little,A moderate amount,A moderate amount,A great deal,A little,A moderate amount,None at all
NA,Pre-Survey,NA,NA,NA,NA,NA,NA,NA,NA
NA,Pre-Survey,NA,NA,NA,NA,NA,NA,NA,NA
